Dex Entries;;;;;;;;;;;;;;;;;;;
A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.;It can go for days without eating a single morsel. In the bulb on its back, it stores energy.;The bulb-like pouch on its back grows larger as it ages. The pouch is filled with numerous seeds.;The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.;It carries a seed on its back right from birth. As it grows older, the seed also grows larger.;While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow.;Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.;There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.;For some time after its birth, it grows by gaining nourishment from the seed on its back.;;;;;;;;;;;
When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.;The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.;The bud on its back apparently draws energy from its body. The bud is said to open into a large flower when fully grown.;Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.;If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.;The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.;There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.;To support its bulb, Ivysaur's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.;There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.;When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.;;;;;;;;;;
The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.;The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.;Absorbs solar energy as nutrition. When it is catching the sun's rays, it often remains quiet and still.;By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.;It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.;As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance.;There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;Venusaur's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.;A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.;After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.;;;;;;;;;;
It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.;The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.;Even the newborns have flaming tails. Unfamiliar with fire, babies are said to accidentally burn themselves.;The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.;The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.;If it's healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet.;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.;The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is happy, and blazes when it is enraged.;From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.;The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.;;;;;;;;;;
When it swings its burning tail, it elevates the air temperature to unbearably high levels.;Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames.;It appears to be very vicious. It attacks with razor-sharp claws and won't stop until the enemy is defeated.;It is very hot-headed by nature, so it constantly seeks opponents. It calms down only when it wins.;It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.;If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.;Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.;Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.;It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.;In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.;;;;;;;;;;
It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.;When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely.;Its fiery breath reaches incredible temperatures. It can quickly melt glaciers weighing 10,000 tons.;Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.;It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.;If Charizard becomes furious, the flame at the tip of its tail flares up in a whitish-blue color.;A Charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.;Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.;It is said that Charizard's fire burns hotter if it has experienced harsh battles.;;;;;;;;;;;
After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.;Shoots water at prey while in the water. Withdraws into its shell when in danger.;It takes time for the shell to form and harden after hatching. It sprays foam powerfully from its mouth.;The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.;The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.;When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.;Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling Squirtle to swim at high speeds.;When it retracts its long neck into its shell, it squirts out water with vigorous force.;It shelters itself in its shell, then strikes back with spouts of water at every opportunity.;;;;;;;;;;;
It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance.;When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit.;The tail is covered with a rich fur. It stores air in the fur before taking extended dives underwater.;It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.;It cleverly controls its furry ears and tail to maintain its balance while swimming.;Its long, furry tail is a symbol of longevity, making it quite popular among older people.;Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this Pokémon's toughness in battle.;This Pokémon is very popular as a pet. Its fur-covered tail is a symbol of its longevity.;It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.;;;;;;;;;;;
A brutal Pokémon with pressurized water jets on its shell. They are used for high speed tackles.;Once it takes aim at its enemy, it blasts out water with even more force than a fire hose.;It has spouts extending from its shell at the top. They spray water like cannons, hard enough to pierce concrete walls.;It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.;The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.;It firmly plants its feet on the ground before shooting water from the jets on its back.;The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.;It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.;The pressurized water jets on this brutal Pokémon's shell are used for high-speed tackles.;;;;;;;;;;;
Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.;If you touch the feeler on top of its head, it will release a horrible stink to protect itself.;It has large, eye-like patterns on its head as protection. They are used to frighten off enemies.;For protection, it releases a horrible stench from the antenna on its head to drive away enemies.;Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.;It crawls into foliage where it camouflages itself among leaves that are the same color as its body.;Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.;It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.;It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.;When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.;It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.;Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.;Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.;;;;;;;
This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.;Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell.;When it hardens, only the external shell is transformed. The inside remains tender.;Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell.;It prepares for evolution by hardening its shell as much as possible to protect its soft body.;It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.;Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell.;Even though it is encased in a sturdy shell, the body inside is tender. It can't withstand a harsh attack.;A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.;Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.;Its shell is hard, but it's still just a bug shell. It's been known to break, so intense battles with it should be avoided.;Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.;Its hard shell doesn't crack a bit even if <<0731piki>> pecks at it, but it will tip over, spilling out its insides.;;;;;;;
In battle, it flaps its wings at great speed to release highly toxic dust into the air.;Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain.;Its wings are covered with poisonous dust. If you see one flapping its wings, be careful not to inhale any of the dust.;It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.;Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.;It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom.;It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away.;The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain.;It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.;Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.;When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.;Its wings are covered in toxic scales. If it finds bird Pokémon going after <<0010cate>>, Butterfree sprinkles its scales on them to drive them off.;Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with <<0742cuti>> for territory.;;;;;;;
